id,Mig_rate,mean,sd,n,se,ci_mean,prop_sigPos,prop_pos,se_pos,ci_pos,se_sigPos,ci_sigPos,prop_sigNeg,prop_neg,se_neg,ci_neg,se_sigNeg,ci_sigNeg
Cyan,0.35,-0.000788452705065666,0.00146602134314584,500000,2.07326726620526e-06,4.06360384176232e-06,0.037254,0.303072,0.000649952864161702,0.00127390761375694,0.000267828824005184,0.000524944495050161,0.1958,0.696928,0.000649952864161702,0.00127390761375694,0.000561181539254456,0.00109991581693873
Cyan,0.5,-0.000595414388180113,0.00129934403448585,500000,1.83754995575846e-06,3.60159791328659e-06,0.043736,0.332104,0.000666049447389607,0.00130545691688363,0.000289216743305086,0.000566864816877968,0.176678,0.667896,0.000666049447389607,0.00130545691688363,0.000539375350411937,0.0010571756868074
Cyan,1,-0.000367683000750469,0.00101380405185685,500000,1.43373543972475e-06,2.81012146186051e-06,0.050578,0.365386,0.000680997901617912,0.00133475588717111,0.000309902778032079,0.000607409444942875,0.151572,0.634612,0.000680998692298304,0.00133475743690468,0.000507144809331615,0.000994003826289965
pA,0,-0.000103679193808631,0.00478852929576023,500000,6.77200307388501e-06,1.32731260248146e-05,0.03449,0.488536,0.000706920896146096,0.00138556495644635,0.000258071462583525,0.00050582006666371,0.044738,0.511462,0.000706920961007665,0.00138556508357502,0.000292357696515758,0.000573021085170886
pA,0.001,-0.000159851543339587,0.00457178345864271,500000,6.46547817144549e-06,1.26723372160332e-05,0.03796,0.478852,0.000706474008150335,0.00138468905597466,0.000270255576815725,0.00052970093055882,0.041842,0.521148,0.000706474008150335,0.00138468905597466,0.000283165135692938,0.000555003665958159
pA,0.0025,3.79196487804877e-05,0.0043980831945532,500000,6.21982890218233e-06,1.21908646482774e-05,0.045658,0.503738,0.000707087020607789,0.00138589056039127,0.000295206189081462,0.000578604130599666,0.047556,0.496258,0.000707086978293336,0.00138589047745494,0.00030097982279216,0.000589920452672634
pA,0.005,2.43882397748593e-05,0.00409829795621984,500000,5.79586855233203e-06,1.13599023625708e-05,0.0492,0.507246,0.000707032524688928,0.0013857837483903,0.000305873699425106,0.000599512450873208,0.05699,0.492754,0.000707032524688928,0.0013857837483903,0.00032784795225836,0.000642581986426386
pA,0.01,5.57057467166979e-05,0.00367972202667125,500000,5.20391279588149e-06,1.01996690799277e-05,0.05945,0.501578,0.000707103259667214,0.00138592238894774,0.000334412013839216,0.000655447547124863,0.057814,0.498422,0.000707103259667214,0.00138592238894774,0.000330065270526907,0.000646927930232737
pA,0.02,-2.46152943714822e-05,0.00319737365745509,500000,4.52176919034746e-06,8.86266761308102e-06,0.067944,0.496062,0.00070708484944312,0.00138588630490852,0.000355886534906844,0.000697537608417414,0.070638,0.503938,0.00070708484944312,0.00138588630490852,0.000362348652421946,0.000710203358747014
pA,0.035,-2.91855041275799e-05,0.00283644980053089,500000,4.01134577690124e-06,7.86223772272644e-06,0.076682,0.495556,0.000707078851138966,0.00138587454823237,0.000376302726208567,0.000737553343368792,0.080978,0.504444,0.000707078851138966,0.00138587454823237,0.000385799335188644,0.000756166696969743
pA,0.05,-2.93770264540339e-05,0.00258162786080991,500000,3.65097313375762e-06,7.15590734216493e-06,0.08056,0.49431,0.000707060992984339,0.00138583954624931,0.000384889819039164,0.00075438404531676,0.086438,0.50569,0.000707060992984339,0.00138583954624931,0.000397407780890108,0.000778919250544612
pA,0.1,1.08202551594744e-05,0.00213309176076298,500000,3.01664729785732e-06,5.91262870380034e-06,0.09174,0.50167,0.000707102837075344,0.00138592156066767,0.000408224870383959,0.000800120745952559,0.09257,0.49833,0.000707102837075344,0.00138592156066767,0.000409879970479164,0.000803364742139161
pA,0.2,1.25021429643525e-05,0.00170214672640182,500000,2.40719898562642e-06,4.71811001182779e-06,0.094128,0.501654,0.000707102912289293,0.00138592170808702,0.000412959851840345,0.000809401309607077,0.093414,0.498346,0.000707102912289293,0.00138592170808702,0.000411552729559652,0.000806643349936918
pA,0.35,-5.05809474671697e-06,0.00139986887472777,500000,1.97971354818398e-06,3.8802385544406e-06,0.092288,0.49883,0.000707104845266952,0.00138592549672323,0.00040931876344971,0.000802264776361433,0.096176,0.501168,0.000707104851879833,0.00138592550968447,0.000416956057694333,0.000817233873080893
pA,0.5,1.06648898686677e-05,0.00123025807701064,500000,1.73984765772749e-06,3.41010140914589e-06,0.094064,0.502428,0.000707098444088233,0.00138591295041294,0.000412834019683456,0.000809154678579573,0.094128,0.497572,0.000707098444088233,0.00138591295041294,0.000412959851840345,0.000809401309607077
pA,1,-8.37173545966474e-07,0.000951861948709191,500000,1.34613607737142e-06,2.63842671164799e-06,0.090524,0.498642,0.000707104173139998,0.0013859241793544,0.000405781728085433,0.000795332187047448,0.092114,0.501358,0.000707104173139998,0.0013859241793544,0.000408971908580528,0.000801584940817835
pB,0,-9.05230562851785e-05,0.00485822079412678,500000,6.87056173605708e-06,1.34663010026719e-05,0.039308,0.484448,0.000706764650072427,0.00138525871414196,0.000274819508536057,0.000538646236730672,0.040276,0.51555,0.000706764738084746,0.0013852588866461,0.000278042600419432,0.000544963496822087
pB,0.001,0.000128984678424015,0.0046153313421749,500000,6.52706417894936e-06,1.27930457907407e-05,0.044744,0.507876,0.0007070190501309,0.00138575733825656,0.000292376382301991,0.000573057709311902,0.04091,0.492124,0.0007070190501309,0.00138575733825656,0.000280129869524833,0.000549054544268673
pB,0.0025,0.000196461120825516,0.00439561849916952,500000,6.21634329654361e-06,1.21840328612255e-05,0.050952,0.511932,0.000706905407216553,0.00138553459814444,0.000310985188380411,0.000609530969225607,0.04375,0.488066,0.000706905339694078,0.00138553446580039,0.000289260911635153,0.000566951386804901
pB,0.005,-9.83234737335836e-05,0.00409053991611805,500000,5.78489702680265e-06,1.13383981725332e-05,0.047928,0.489684,0.000706956264763246,0.00138563427893596,0.000302095702769834,0.000592107577428875,0.057362,0.510316,0.000706956264763246,0.00138563427893596,0.000328851337099304,0.000644548620714636
pB,0.01,0.000100004247842401,0.00367521720467306,500000,5.19754201551558e-06,1.01871823504105e-05,0.05862,0.513714,0.00070684075463148,0.0013854078790777,0.00033221588041513,0.000651143125613655,0.061362,0.486286,0.00070684075463148,0.0013854078790777,0.000339401546714213,0.000665227031559857
pB,0.02,1.69679474671655e-06,0.00319934189191509,500000,4.52455269421472e-06,8.86812328066085e-06,0.06728,0.498212,0.000707102260010531,0.00138592042962064,0.00035426939354113,0.000694368011340615,0.07071,0.501788,0.000707102260010531,0.00138592042962064,0.00036251922955893,0.000710537689935502
pB,0.035,-1.72878876172609e-05,0.00283048977729254,500000,4.00291703120551e-06,7.84571738116279e-06,0.074788,0.49985,0.000707106749366742,0.00138592922875881,0.000372007405990795,0.000729134515741958,0.079462,0.50015,0.000707106749366742,0.00138592922875881,0.000382486053486921,0.000749672664834366
